tweet_id,text,favorite_count,retweet_count,created_at
1648399845902761986,Random Trump randomtrump trump donaldtrump giphy gif gifs,0,0,Tue Apr 18 18:55:23 +0000 2023
1648399655229865984,The 16 billion FoxDominion trial has begunDominion Voting Systems says that Fox News disregarded the truth to,0,0,Tue Apr 18 18:54:38 +0000 2023
1648399463260602374,Save AfricanDonaldJChump DonaldTrump,0,0,Tue Apr 18 18:53:52 +0000 2023
1648399437272870912,DonaldTrump best president,1,0,Tue Apr 18 18:53:46 +0000 2023
1648398867078021120,AMEN Unless God blesses us with someone else here very soon that represents all of the below and then some you,0,0,Tue Apr 18 18:51:30 +0000 2023
1648398607035559937,DonaldTrump had so far not gotten back on Twitter even though ElonMusk has reportedly provided that opportunity,0,0,Tue Apr 18 18:50:28 +0000 2023
1648398586013425678,Random Trump randomtrump trump donaldtrump giphy gif gifs,0,0,Tue Apr 18 18:50:23 +0000 2023
1648398364789055508,Donald Trump returns to Instagram with bizarre Liberty Bell picture trumpcrimefamily donaldtrump trump,0,0,Tue Apr 18 18:49:30 +0000 2023
1648398206458540036,RepMTG you realize during the timeline you ranted about in this video DonaldTrump was the president So if you h,0,0,Tue Apr 18 18:48:52 +0000 2023
1648397581184016390,Free desktop background Superman DonaldTrump donaldtrumparrested Donald,0,0,Tue Apr 18 18:46:23 +0000 2023
1648397351193550849,Random Trump randomtrump trump donaldtrump giphy gif gifs,0,0,Tue Apr 18 18:45:28 +0000 2023
1648397309976125450,Disgraced Former President Donald Trump NFTs for sale TrumpNFTs DonaldTrump TrumpNFT,2,0,Tue Apr 18 18:45:19 +0000 2023
1648396067824607241,Random Trump randomtrump trump donaldtrump giphy gif gifs,0,0,Tue Apr 18 18:40:22 +0000 2023
1648395493498576896,Round 2 DonaldTrump TrumpTradingCards collecttrumptradingcards,1,0,Tue Apr 18 18:38:06 +0000 2023
1648394839828885506,Random Trump randomtrump trump donaldtrump giphy gif gifs,0,0,Tue Apr 18 18:35:30 +0000 2023
1648394821696888837,Donald Trump is no longer a New Yorker and got Florida man treatment in the city AOC says,0,0,Tue Apr 18 18:35:25 +0000 2023
1648394794115145745,Trump returns to Instagram to market his NFT trading cards trumpcrimefamily donaldtrump trump,0,0,Tue Apr 18 18:35:19 +0000 2023
